Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Sprint,Project lead,Component,Project description,Project url,Priority,Resolution,Assignee,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Log Work2,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint3,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Work category),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
Calculate individual performance metrics.,NODE-52,10191,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Performance Optimization,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:06,13/09/2023 11:06,13/09/2023 11:06,,,0,"Implement logic to calculate and display individual performance metrics, such as average ratio by assignee and component.",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-48,Performance Metrics,,,,,,,0|i0018n:,,,,,,,5,,,,,,,,,10187,Performance Metrics,To Do
Calculate team performance metrics,NODE-51,10190,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Integration,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:05,13/09/2023 11:05,13/09/2023 11:05,,,0,"Implement logic to calculate and display team performance metrics, including average ratio by sprint and team capacity.",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-48,Performance Metrics,,,,,,,0|i0018f:,,,,,,,5,,,,,,,,,10187,Performance Metrics,To Do
"As a user, I want to view individual performance metrics, such as average ratio by assignee and component.",NODE-50,10189,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Documentation,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:05,13/09/2023 11:05,13/09/2023 11:07,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-48,Performance Metrics,,,,,,,0|i00187:,,,,,,,5,,,,,,,,,10187,Performance Metrics,To Do
"As a user, I want to view team performance metrics, such as average ratio by sprint and team capacity.",NODE-49,10188,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Analysis,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:05,13/09/2023 11:05,13/09/2023 11:07,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-48,Performance Metrics,,,,,,,0|i0017z:,,,,,,,5,,,,,,,,,10187,Performance Metrics,To Do
Performance Metrics,NODE-48,10187,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Analysis,,,Medium,Done,Pawel,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:04,13/09/2023 11:06,13/09/2023 11:06,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},ghx-label-7,,,Performance Metrics,To Do,,purple,,,0|i0017r:,,,,,,,5,,,,,,,,,,,To Do
Create a dashboard component.,NODE-47,10186,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Performance Optimization,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:04,13/09/2023 11:04,13/09/2023 11:04,,,0,"Design a dashboard where users can add, arrange, and view multiple charts for a comprehensive data overview.",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-45,Dashboard,,,,,,,0|i0017j:,,,,,,,5,,,,,,,,,10184,Dashboard,To Do
"As a user, I want to add charts to a dashboard for a consolidated view of data analysis.",NODE-46,10185,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Data Integration,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:03,13/09/2023 11:04,13/09/2023 11:07,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-45,Dashboard,,,,,,,0|i0017b:,,,,,,,5,,,,,,,,,10184,Dashboard,To Do
Dashboard,NODE-45,10184,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Documentation,,,Medium,Done,Pawel,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:03,13/09/2023 11:04,13/09/2023 11:04,,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},ghx-label-7,,,Dashboard,To Do,,purple,,,0|i00173:,,,,,,,5,,,,,,,,,,,To Do
Add chart customization settings,NODE-44,10183,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Analysis,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:03,13/09/2023 11:03,13/09/2023 11:03,,,0,"Create options for users to customize chart settings, including chart type, X-axis, Y-axis, and chart title",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-37,Data Analysis,,,,,,,0|i0016v:,,,,,,,5,,,,,,,,,10113,Data Analysis,To Do
Implement chart creation options.,NODE-43,10182,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Performance Optimization,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:02,13/09/2023 11:02,13/09/2023 11:02,,,0,"Develop a feature that allows users to create charts (e.g., bar charts, line charts) from selected data columns.",,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-37,Data Analysis,,,,,,,0|i0016n:,,,,,,,3,,,,,,,,,10113,Data Analysis,To Do
Develop JQL query functionality.,NODE-42,10181,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Data Integration,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:01,13/09/2023 11:01,13/09/2023 11:01,,,0,Create a text area where users can input JQL queries for fetching Jira issues,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-36,Jira Integration,,,,,,,0|i0016f:,,,,,,,3,,,,,,,,,10112,Jira Integration,To Do
Implement Jira connection,NODE-41,10180,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Performance Optimization,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 11:01,13/09/2023 11:01,13/09/2023 11:01,,,0,Connect to Jira using the provided credentials and establish a connection.,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-36,Jira Integration,,,,,,,0|i00167:,,,,,,,3,,,,,,,,,10112,Jira Integration,To Do
Implement column selection feature.,NODE-40,10179,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Integration,,,Medium,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,13/09/2023 10:59,13/09/2023 10:59,13/09/2023 10:59,,,0,Develop a user interface for users to select columns from the dataset.,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,NODE-32,Data Management,,,,,,,0|i0015z:,,,,,,,3,,,,,,,,,10108,Data Management,To Do
"As a user, I want to customize chart settings, such as chart type and axis labels.",NODE-39,10115,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Documentation,,,High,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 15:40,13/09/2023 11:02,13/09/2023 11:02,,,0,,,Tsitsi,6278d6d083954200696720b3,;24/Apr/23 5:04 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;21600,,,0,21600,,,0,21600,,,,,,,,,,,,{},,NODE-37,Data Analysis,,,,,,,0|i000s1:z,,,,,NODE Sprint 4,,3,,,,,,,,,10113,Data Analysis,To Do
"As a user, I want to create various types of charts from the selected data columns.",NODE-38,10114,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Analysis,,,High,Done,Jim,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 15:39,13/09/2023 11:02,13/09/2023 11:07,23/04/2023 12:33,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:11 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;14400,,,0,14400,,,0,14400,,,,,,,,,,,,{},,NODE-37,Data Analysis,,,,,,,0|i000s1:y,,,,,,,3,5,,,,,,,,10113,Data Analysis,Done
Data Analysis,NODE-37,10113,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Analysis,,,High,Done,Pawel,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 15:38,13/09/2023 11:03,13/09/2023 11:03,23/04/2023 21:13,07/04/2023 00:00,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 11:38 AM;ug:38c475bd-183f-498c-9632-5329c772a9ea;10800,,,0,10800,,,0,10800,,,,,,,,,,,,{},ghx-label-6,,,Connect to Figma,To Do,,green,,,0|i000x7:,,,,,,25/03/2023 00:00,3,5,,,,,,,,,,Done
Jira Integration,NODE-36,10112,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Integration,,,High,Done,Pawel,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 15:25,13/09/2023 11:01,13/09/2023 11:01,,23/04/2023 00:00,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:11 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;18000,,,0,18000,,,18000,18000,,,,,,,,,,,,{},ghx-label-3,,,Connect to Jira,To Do,,yellow,,,0|i000wz:,,,,,,11/04/2023 00:00,3,,,,,,,,,,,To Do
Create a Jira integration form,NODE-35,10111,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Documentation,,,High,Done,Pawel,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 15:20,13/09/2023 11:01,13/09/2023 11:00,24/04/2023 17:50,,0,"Design a form that allows users to input Jira URL, email, and API token for integration
",,Tsitsi,6278d6d083954200696720b3,;24/Apr/23 5:51 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;18000,;04/May/23 3:38 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;3600,,0,21600,,,0,21600,,,,,,,,,,,,{},,NODE-36,Jira Integration,,,,,,,0|i000s1:x,,,,,,,3,5,,,,,,,,10112,Jira Integration,Done
"As a user, I want to run JQL queries to filter and retrieve specific Jira issues.",NODE-34,10110,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Data Analysis,,,High,Done,David,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 15:20,13/09/2023 11:00,13/09/2023 11:07,23/04/2023 12:33,,0,"Tasks: 2.1. Create a function node to fetch the email body using the Gmail API. 2.2. Configure the function node to receive the email IDs from the previous node. 2.3. Retrieve the email body for each identified email with ""bug"" in the subject. 2.4. Pass the email body to the ChatGPT node.",,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:33 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;18000,,,0,18000,,,0,18000,,,,,,,,,,,,{},,NODE-36,Jira Integration,,,,,,,0|i000s1:v,,,,,,,12,5,,,,,,,,10112,Jira Integration,Done
"As a user, I want to connect the application to our Jira instance to fetch relevant data",NODE-33,10109,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Analysis,,,High,Done,David,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 15:20,13/09/2023 11:00,13/09/2023 11:07,23/04/2023 21:16,,0,"Tasks: 1.1. Set up Gmail API integration and authentication. 1.2. Create a function node to retrieve the user's Gmail inbox subjects. 1.3. Implement a filtering mechanism in the function node to identify emails with the word ""bug"" in the subject. 1.4. Pass the relevant email IDs with ""bug"" in the subject to the next node in the flow.",,Tsitsi,6278d6d083954200696720b3,;23/Apr/23 9:18 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;21600,,,18000,21600,,,18000,21600,,,,,,,,,,,,{},,NODE-36,Jira Integration,,,,,,,0|i000s1:r,,,,,,,6,5,,,,,,,,10112,Jira Integration,Done
Data Management,NODE-32,10108,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Documentation,,,High,Done,David,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:39,13/09/2023 10:59,13/09/2023 10:59,,09/04/2023 00:00,0,,,Tsitsi,6278d6d083954200696720b3,,,,,21600,,,0,21600,,,,,,,,,,,,{},ghx-label-9,,,Dashboards Visualization ,To Do,,orange,,,0|i000w3:,,,,,,10/03/2023 00:00,10,,,,,,,,,,,To Do
Ensure the web interface is accessible and responsive ,NODE-31,10107,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Analysis,,,High,Done,David,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:23,25/04/2023 12:33,13/09/2023 11:07,23/04/2023 12:32,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:33 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;14400,,,0,21600,,,0,21600,,,,,,,,,,,,{},,,,,,,,,,0|i000vv:,,,,,,,6,5,,,,,,,,,,Done
Configure the function node to send the HTML response ,NODE-30,10106,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Performance Optimization:,,,High,Done,David,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:20,25/04/2023 12:36,13/09/2023 11:07,23/04/2023 12:32,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:36 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;21600,,,0,21600,,,0,21600,,,,,,,,,,,,{},,,,,,,,,,0|i000vn:,,,,,,,6,5,,,,,,,,,,Done
Create a function node for HTML response ,NODE-29,10105,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Data Integration,,,High,Done,David,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:20,25/04/2023 12:36,13/09/2023 11:07,23/04/2023 12:32,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:36 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;21600,,,0,21600,,,0,21600,,,,,,,,,,,,{},,,,,,,,,,0|i000vf:,,,,,,,6,5,,,,,,,,,,Done
Ensure the chart is displayed in the HTML response ,NODE-28,10104,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Documentation,,,High,Done,David,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:19,25/04/2023 12:36,13/09/2023 11:07,24/03/2023 14:28,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:36 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;21600,,,0,21600,,,0,21600,,,,,,,,,,,,{},,,,,,,,,,0|i000v7:,,,,,,,6,5,,,,,,,,,,Done
Configure the function node to create the chart ,NODE-27,10103,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Analysis,,,High,Done,David,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:19,25/04/2023 12:31,13/09/2023 11:07,24/03/2023 14:28,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,21600,,,,21600,,,,,,,,,,,,{},,,,,,,,,,0|i000uz:,,,,,,,6,5,,,,,,,,,,Done
Create a function node for HTML chart generation (,NODE-26,10102,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Documentation,,,High,Done,David,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:18,25/04/2023 12:36,13/09/2023 11:07,24/03/2023 14:28,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:36 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;21600,,,0,21600,,,0,21600,,,,,,,,,,,,{},,,,,,,,,,0|i000ur:,,,,,,,6,5,,,,,,,,,,Done
Ensure extracted data is used for chart generation ,NODE-25,10101,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Performance Optimization:,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:18,25/04/2023 12:36,13/09/2023 11:07,24/03/2023 14:27,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:36 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;21600,,,0,14400,,,0,14400,,,,,,,,,,,,{},,,,,,,,,,0|i000uj:,,,,,,,6,5,,,,,,,,,,Done
Configure the function node to extract issue data ,NODE-24,10100,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Integration,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:17,25/04/2023 12:35,13/09/2023 11:07,24/03/2023 14:27,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:35 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;21600,,,0,14400,,,0,14400,,,,,,,,,,,,{},,,,,,,,,,0|i000ub:,,,,,,,6,5,,,,,,,,,,Done
Create a function node to process JSON response ,NODE-23,10099,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Documentation,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:17,25/04/2023 12:35,13/09/2023 11:07,24/03/2023 14:27,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:35 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;25200,,,0,14400,,,0,14400,,,,,,,,,,,,{},,,,,,,,,,0|i000u3:,,,,,,,6,5,,,,,,,,,,Done
Ensure the HTTP request node sends the response ,NODE-22,10098,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Analysis,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:16,25/04/2023 12:31,13/09/2023 11:07,24/03/2023 14:27,,0,,,Tsitsi,6278d6d083954200696720b3,;23/Apr/23 9:20 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;21600,,,0,14400,,,0,14400,,,,,,,,,,,,{},,,,,,,,,,0|i000tv:,,,,,,,6,5,,,,,,,,,,Done
Set up an HTTP request node ,NODE-21,10097,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Performance Optimization:,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:16,28/08/2023 15:30,13/09/2023 11:07,,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:35 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;25200,,,0,14400,,,0,14400,,,,,,,,,,,,{},,,,,,,,,,0|i000s1:zi,,,,,,,6,5,,,,,,,,,,To Do
Configure the function node to pass headers and URL ,NODE-20,10096,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Data Integration,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:16,25/04/2023 12:31,13/09/2023 11:07,24/03/2023 14:27,,0,,,Tsitsi,6278d6d083954200696720b3,,,,,14400,,,,14400,,,,,,,,,,,,{},,,,,,,,,,0|i000tf:,,,,,,,6,5,,,,,,,,,,Done
Create a function node for API headers and URL ,NODE-19,10095,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Documentation,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:16,25/04/2023 12:31,13/09/2023 11:07,24/03/2023 14:27,,0,,,Tsitsi,6278d6d083954200696720b3,;23/Apr/23 9:20 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;10800,,,0,14400,,,0,14400,,,,,,,,,,,,{},,,,,,,,,,0|i000t7:,,,,,,,6,5,,,,,,,,,,Done
Ensure incoming HTTP requests trigger the flow ,NODE-18,10094,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Analysis,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:15,05/05/2023 09:27,13/09/2023 11:07,05/05/2023 09:27,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:35 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;25200,,,0,25200,,,0,25200,,,,,,,,,,,,{},,,,,,,,,,0|i000sz:,,,,,,,6,5,,,,,,,,,,Done
Configure the HTTP in node ,NODE-17,10093,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Performance Optimization:,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:15,25/04/2023 12:35,13/09/2023 11:07,24/03/2023 14:27,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:35 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;14400,,,0,25200,,,0,25200,,,,,,,,,,,,{},,,,,,,,,,0|i000sr:,,,,,,,6,5,,,,,,,,,,Done
Set up an HTTP in node ,NODE-16,10092,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Data Integration,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 14:15,04/05/2023 15:38,13/09/2023 11:07,24/03/2023 14:27,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:35 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;14400,;04/May/23 3:38 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;28800,,0,25200,,,0,25200,,,,,,,,,,,,{},,,,,,,,,,0|i000sj:,,,,,,,6,5,,,,,,,,,,Done
 Create a data table for displaying the uploaded data,NODE-15,10091,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Documentation,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 13:02,13/09/2023 10:59,13/09/2023 10:59,,,0,Design a user interface to display the uploaded data in a tabular format.,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:35 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;14400,,,0,25200,,,0,25200,,,,,,,,,,,,{},,NODE-32,Data Management,,,,,,,0|i000sb:,,,,,,,8,5,,,,,,,,10108,Data Management,To Do
"As a user, I want to select specific columns from the dataset for analysis.",NODE-14,10090,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Data Analysis,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 13:02,13/09/2023 10:57,13/09/2023 11:07,24/03/2023 14:25,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:34 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;14400,,,0,25200,,,0,25200,,,,,,,,,,,,{},,NODE-32,Data Management,,,,,,,0|i000s1:i,,,,,,,10,5,,,,,,,,10108,Data Management,Done
Implement CSV file upload feature. ,NODE-13,10089,Task,To Do,NODE,SCRUM_NODE,software,NODE Sprint 1,Tsitsi,Performance Optimization:,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 13:02,13/09/2023 10:59,13/09/2023 10:59,,,0,Develop the functionality to upload CSV files and validate their format.,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:34 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;14400,,,0,25200,,,0,25200,,,,,,,,,,,,{},,NODE-32,Data Management,,,,,,,0|i000s2:,,,,,,,10,5,,,,,,,,10108,Data Management,To Do
"As a user, I want to view the uploaded data in a user-friendly format.",NODE-12,10088,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 2,Tsitsi,Data Integration,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,24/03/2023 13:01,13/09/2023 10:57,13/09/2023 11:07,24/03/2023 13:46,,0,,,Tsitsi,6278d6d083954200696720b3,;25/Apr/23 12:34 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;14400,,,0,25200,,,0,25200,,,,,,,,,,,,{},,NODE-32,Data Management,,,,,,,0|i000s1:,,,,,,,4,5,,,,,,,,10108,Data Management,Done
"As a user, I want to upload a CSV file so that I can import data for analysis.",NODE-6,10080,Task,Done,NODE,SCRUM_NODE,software,NODE Sprint 3,Tsitsi,Documentation,,,High,Done,Tsitsi,Tsitsi,6278d6d083954200696720b3,Tsitsi,6278d6d083954200696720b3,23/03/2023 20:47,13/09/2023 10:57,13/09/2023 11:07,24/03/2023 13:34,,0,,,Tsitsi,6278d6d083954200696720b3,;23/Apr/23 12:37 PM;ug:38c475bd-183f-498c-9632-5329c772a9ea;144000,,,0,25200,,,0,25200,,,,,,,,,,,,{},,NODE-32,Data Management,,,,purple,,,0|i000rz:,,,,,,,5,5,,,,,,,,10108,Data Management,Done
